"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"temperature_mean",1,4698,25.7332139966572,2.84681674479006,26.1483870967742,26.1150200309107,2.02366929032258,15.7,30.3966666666667,14.6966666666667,-1.38698978899113,2.22937491457899,0.0415339279737455
"precipitation_sum",2,4698,156.753107705407,128.130009903456,122.75,139.777420212766,115.42041,0,849.6,849.6,1.20050090350705,1.36742030481993,1.86936606030042
"wind_speed_mean",3,4698,16.4404196751721,5.5705158631815,15.7483870967742,16.050021034432,5.37083806451613,5.25333333333333,35.0033333333333,29.75,0.631176718366019,0.0560433407266423,0.0812716185758734
